Improvement action,Points achieved,Regulations,Group,Solutions,Assessments,Categories,Test status
Implement controls to secure alternate work sites,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Manage the transportation of assets,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Implement parameters for memorized secret verifiers,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Monitor audit processing activities,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Use dedicated machines for administrative tasks,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Design an access control model,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Determine assertion requirements,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Determine supplier contract obligations,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Develop a tailored control baseline and profile,0/9,Data Protection Baseline,Default Group,Compliance Manager,Data Protection Baseline,Manage compliance,None
Develop and document a DDoS response plan,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Obtain consent prior to sending electronic messages,0/9,"ISO 27001, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001",Manage compliance,None
Develop and document application security requirements,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Perform data center resilience and risk assessment,0/9,Data Protection Baseline,Default Group,Compliance Manager,Data Protection Baseline,Manage compliance,None
Perform a data protection impact assessment,0/9,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Use Microsoft Defender ATP to explore security recommendations,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Perform threat modeling,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Develop business classification schemes,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Manage availability and capacity,0/9,"ISO 27001, EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR, ISO 27001, NIST 800-53",Manage compliance,None
Develop and maintain baseline configurations,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Develop system and communications protection policies and procedures,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Document and maintain a network diagram,0/9,Data Protection Baseline,Default Group,Compliance Manager,Data Protection Baseline,Manage compliance,None
Manage concurrent active sessions,0/9,Data Protection Baseline,Default Group,Compliance Manager,Data Protection Baseline,Manage compliance,None
Prohibit the use of cached authenticators,0/9,"ISO 27001, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001",Manage compliance,None
Document and report alternative security measures,0/9,"ISO 27001, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001",Manage compliance,None
Manage contacts for authorities and special interest groups,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Document mobility training,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Manage enterprise architecture,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Provide a mechanism to withdraw consent,0/9,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Enable and maintain an uninterruptible power supply,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Provide contingency training,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Use security baselines,0/9,Data Protection Baseline,Default Group,Microsoft Defender for Office 365,Data Protection Baseline,Protect against threats,None
Provide secure name and address resolution services,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Reauthenticate or terminate a user session,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Require compliance with intellectual property rights,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Verify implementation of security controls,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Establish a configuration control board,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Require security clearance before accessing sensitive data on government property,0/9,Data Protection Baseline,Default Group,Compliance Manager,Data Protection Baseline,Manage compliance,None
Control maintenance and repair activities,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Establish a control selection process,0/9,Data Protection Baseline,Default Group,Compliance Manager,Data Protection Baseline,Manage compliance,None
Control physical access,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Establish a data leakage management procedure,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Establish a risk management strategy,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Create a data inventory,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Establish a password policy,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Establish a self assessment process,0/9,Data Protection Baseline,Default Group,Compliance Manager,Data Protection Baseline,Manage compliance,None
Establish a threat intelligence program,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Establish and document a configuration management plan,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Establish procedures to secure infrastructure,0/9,Data Protection Baseline,Default Group,Compliance Manager,Data Protection Baseline,Manage compliance,None
Establish authenticator types and processes,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Manage asset transportation,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Establish backup policies and procedures,0/9,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Address coding vulnerabilities,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Establish policies for supply chain risk management,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Define cryptographic use,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Define organizational requirements for cryptographic key management,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Document remediation actions for policy and procedure violations,0/9,Data Protection Baseline,Default Group,Compliance Manager,Data Protection Baseline,Manage compliance,None
Implement training for protecting authenticators,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Consumer personal information opt out rights,0/9,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Determine the notification requirements to data subjects,0/9,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Display prominent privacy notifications,0/9,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Document protection of personal data in acquisition contracts,0/9,"ISO 27001, EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR, ISO 27001, NIST 800-53",Manage compliance,None
Implement privacy notice delivery methods,0/9,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Manage compliance activities,0/9,"ISO 27001, EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR, ISO 27001",Manage compliance,None
Obfuscate sensitive data,0/9,"ISO 27001, EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR, ISO 27001",Manage compliance,None
Obtain authorization from the regulator to process personal data,0/9,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
"Manage the input, output, processing, and storage of data",0/9,Data Protection Baseline,Default Group,Microsoft Information Protection,Data Protection Baseline,Protect information,None
Obtain consent prior to collection or processing of personal data,0/9,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Protect special information,0/9,"ISO 27001, EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR, ISO 27001, NIST 800-53",Manage compliance,None
Protect personal data of children and elderly,0/9,"ISO 27001, EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR, ISO 27001",Manage compliance,None
Provide privacy notice,0/9,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Provide privacy training,0/9,"ISO 27001, EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR, ISO 27001",Manage compliance,None
Pseudonymize or de-identify personal data,0/9,"ISO 27001, EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR, ISO 27001",Manage compliance,None
Records of personal data processing,0/9,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Provide data breach training,0/9,"ISO 27001, EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR, ISO 27001",Manage compliance,None
Record disclosures of PII to third parties,0/9,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Designate union representative,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Establish a privacy program,0/9,"ISO 27001, EU GDPR, NIST 800-53",Default Group,Compliance Manager,"EU GDPR, ISO 27001, NIST 800-53",Manage compliance,None
Develop a private data processing procedure,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Verify consumer identity,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Prohibit consumer discrimination,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Understand requirements for financial incentives,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Restrict the processing of identifiers,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Adhere to retention periods defined,0/9,"ISO 27001, EU GDPR, NIST 800-53",Default Group,Compliance Manager,"EU GDPR, ISO 27001, NIST 800-53",Manage compliance,None
Maintain data breach records,0/9,"EU GDPR, NIST 800-53",Default Group,Compliance Manager,"EU GDPR, NIST 800-53",Manage compliance,None
Disallow data-based discrimination,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Prohibit data profiling during automated data processing,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Determine the requirements for joint data processing,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Require compliance with data portability requirements,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
"Adopt security, technical, and administrative measures to protect personal data",0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Complete third party information notices,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Consumer financial incentives opt out rights,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Define the duties of processors,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Develop a data handling policy,0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Develop a data transfer policy,0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Discoverable privacy notification,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Determine the requirements for cross-border transmissions,0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Determine organization role,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Document and distribute a privacy policy,0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Document the legal basis for processing personal information,0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Establish and adhere to binding corporate rules,0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Establish requirements for processing personal data related to criminal convictions,0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Implement methods for consumer requests,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Inform data subjects of their rights,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Incorporate security and data privacy practices in research processing,0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Limit disclosure of personal information in disciplinary proceedings,0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Limit sensitive evidence collection,0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Information security and personal data protection,0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Manage a registry process,0/9,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Manage cross-border data transfers,0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Protect personal data,0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Restrict the processing of personal data,0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Supervise personnel handling personal information,0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Understand requirements for providing access to personal data,0/9,"ISO 27001, EU GDPR",Default Group,Compliance Manager,"EU GDPR, ISO 27001",Manage compliance,None
Support personal verification credentials issued by legal authorities,0/9,"ISO 27001, NIST 800-53",Default Group,Compliance Manager,"ISO 27001, NIST 800-53",Manage compliance,None
Maintain a list of third parties,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Develop identification and authentication policies and procedures,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Establish an information security program,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Develop organization code of conduct policy,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Publish periodic security reminders,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Document terms and conditions for external information systems,0/9,"ISO 27001, NIST 800-53",Default Group,Compliance Manager,"ISO 27001, NIST 800-53",Manage compliance,None
Synchronize server clocks,0/9,"ISO 27001, NIST 800-53",Default Group,Compliance Manager,"ISO 27001, NIST 800-53",Manage compliance,None
Develop a media library protection policy,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Develop and document a governance plan,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Develop and maintain a risk management framework,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Implement logging and monitoring of applications,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Establish a data governance model,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Develop and maintain a vulnerability management standard,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Establish organizational leadership,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Create stakeholder values,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Implement an enrollment process,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Define and document communication needs,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
"Establish roles, responsibilities and qualifications of designated personnel",0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Establish and document remediation processes,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Establish electronic system procedures,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Submit information to authorities,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Establish traceability of controls,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Allocate responsibility for operational tasks,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
"Prohibit the use, aquisition and supply of address harvesting software and harvested lists",0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Develop procedures for sending electronic messages,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Implement and optimize IT capabilities,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Define business functional and technical requirements,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Manage networks with SDN,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Establish a technology adoption strategy,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Understand the legal requirements for data messages,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Establish a security operations center,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Establish a data storage and recovery strategy,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Develop procedures for sending sexually oriented electronic messages,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Develop and document a crisis management plan,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
"Search, view, and export records",0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Optimize and manage capacity requirements,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Utilize software development frameworks and libraries,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Adopt an IT implementation method,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Manage organizational projects,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Integrate a digital transformation strategy,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Restrict access to source code,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Prohibit unfair practices,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Implement adequate security measures,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Govern and secure electronic transactions,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Update rules of behavior and access agreements every 3 years,0/9,"ISO 27001, NIST 800-53",Default Group,Compliance Manager,"ISO 27001, NIST 800-53",Manage compliance,None
Secure integrated voice response systems,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Secure multi-functional devices and high-volume printers,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Define requirements for protecting electronic payment systems,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Establish parameters for searching secret authenticators and verifiers,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Secure infrastructure,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Secure cookies,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Restrict the use of non-switched devices,0/9,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Provide security awareness training for insider threats,0/9,NIST 800-53,Default Group,Compliance Manager,NIST 800-53,Manage compliance,None
Use profiles that conform to ficam,0/9,NIST 800-53,Default Group,Compliance Manager,NIST 800-53,Manage compliance,None
Retain and secure records as required by the by the u.s. securities and exchange commission rule 17a-4,0/9,NIST 800-53,Default Group,Compliance Manager,NIST 800-53,Manage compliance,None
Distribute authenticators,0/9,NIST 800-53,Default Group,Compliance Manager,NIST 800-53,Manage compliance,None
Require FICAM-approved components,0/9,NIST 800-53,Default Group,Compliance Manager,NIST 800-53,Manage compliance,None
Require ficam-approved third-party credentials,0/9,NIST 800-53,Default Group,Azure Active Directory,NIST 800-53,Control access,None
Enable mobile device remote wipe,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Revoke email encrypted by Office 365 Advanced Message Encryption,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft Information Protection,"Data Protection Baseline, NIST 800-53",Protect information,None
Review and remediate cloud anomaly detection alerts,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Cloud App Security,"Data Protection Baseline, NIST 800-53",Discover and respond,Could not be detected
Set automated notifications for new and trending cloud applications in your organization,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Cloud App Security,"Data Protection Baseline, ISO 27001, NIST 800-53",Discover and respond,Could not be detected
Use Cloud App Security to detect anomalous behavior,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Cloud App Security,"Data Protection Baseline, NIST 800-53",Discover and respond,None
Enable detection of network devices,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Use Office 365 ATP Threat Protection status reports for trend analysis,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Office 365,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Use Office 365 ATP Threat Tracker for threat intelligence,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Office 365,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Report atypical usage,0/3,Data Protection Baseline,Default Group,Audit,Data Protection Baseline,Discover and respond,None
Govern discovered apps,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Cloud App Security,"Data Protection Baseline, ISO 27001, NIST 800-53",Discover and respond,None
Remediate communication compliance alerts,0/3,Data Protection Baseline,Default Group,Communication compliance,Data Protection Baseline,Manage internal risks,None
Discover and review trends in shadow IT application usage,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Cloud App Security,"Data Protection Baseline, ISO 27001, NIST 800-53",Discover and respond,Could not be detected
Review the Azure activity log,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Azure,"Data Protection Baseline, NIST 800-53",Discover and respond,None
Review the threat analytics dashboard,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, NIST 800-53",Protect against threats,None
Review controlled folder access events,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, NIST 800-53",Protect against threats,None
Manage incidents in Microsoft Defender ATP,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, NIST 800-53",Protect against threats,None
Use advanced eDiscovery Cases to support legal investigations,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,eDiscovery,"Data Protection Baseline, ISO 27001, NIST 800-53",Discover and respond,None
Monitor communications for regulatory compliance,0/3,Data Protection Baseline,Default Group,Communication compliance,Data Protection Baseline,Manage internal risks,None
Use automated investigation and remediation capabilities in Microsoft Defender ATP,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
"Create, configure, and turn on custom alert policies",0/3,"NIST 800-53, Data Protection Baseline",Default Group,Audit,"Data Protection Baseline, NIST 800-53",Discover and respond,None
Investigate and remediate delivered malicious emails,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Office 365,"Data Protection Baseline, NIST 800-53",Protect against threats,None
Investigate components associated with a Microsoft Defender ATP alert,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Investigate compromised accounts using audit,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Audit,"Data Protection Baseline, NIST 800-53",Discover and respond,None
Use Microsoft Defender Antivirus for block at first sight,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Investigate entities on devices using live response in Microsoft Defender ATP,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Use Microsoft Defender ATP for threat and vulnerability management,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
